127.0.0.1 - - [15/Mar/2021:22:39:46 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:47 +0900] "GET /WEB-INF/views/board/detail.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:47 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:53 +0900] "GET /board/list HTTP/1.1" 200 23533
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:53 +0900] "GET /resources/img/undraw_profile.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:53 +0900] "GET /resources/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:53 +0900] "GET /resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:53 +0900] "GET /resources/vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:53 +0900] "GET /resources/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:53 +0900] "GET /resources/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:53 +0900] "GET /resources/vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:53 +0900] "GET /resources/js/demo/datatables-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:53 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:53 +0900] "GET /resources/vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:54 +0900] "GET /resources/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:39:57 +0900] "GET /board/list?pageNum=3&amount=10&type=&keyword= HTTP/1.1" 200 23482
0:0:0:0:0:0:0:1 - - [15/Mar/2021:22:40:00 +0900] "GET /board/list?pageNum=5&amount=10&type=&keyword= HTTP/1.1" 200 23525
